GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021900002,1610612747,Lakers,LAL,Los Angeles,240:00,101.8,105.2,118.4,115.5,-16.7,-10.3,0.541,1.33,15.5,0.28,0.744,0.495,14.964,15.5,0.512,0.541,1.0,0.196,97.4,97.0,80.83,97,0.42
0021900002,1610612746,Clippers,LAC,LA,240:00,118.4,115.5,101.8,105.2,16.7,10.3,0.571,1.71,18.5,0.256,0.72,0.505,14.805,14.4,0.586,0.612,1.0,0.199,97.4,97.0,80.83,97,0.58
0021900001,1610612761,Raptors,TOR,Toronto,265:00,107.7,113.0,107.2,108.9,0.5,4.1,0.548,1.35,14.4,0.4,0.729,0.556,14.082,14.8,0.476,0.543,1.0,0.197,106.2,102.79,85.66,115,0.531
0021900001,1610612740,Pelicans,NOP,New Orleans,265:00,107.2,108.9,107.7,113.0,-0.5,-4.1,0.698,1.58,18.8,0.271,0.6,0.444,16.696,17.0,0.515,0.551,1.0,0.197,106.2,102.79,85.66,112,0.469
0021900008,1610612755,76ers,PHI,Philadelphia,240:00,101.1,103.9,87.8,90.3,13.3,13.6,0.649,1.41,16.9,0.346,0.773,0.585,16.062,16.5,0.476,0.531,1.0,0.199,105.9,103.0,85.83,103,0.681
0021900008,1610612738,Celtics,BOS,Boston,240:00,87.8,90.3,101.1,103.9,-13.3,-13.6,0.545,1.64,13.4,0.227,0.654,0.415,10.381,10.7,0.406,0.443,1.0,0.195,105.9,103.0,85.83,103,0.319
0021900010,1610612759,Spurs,SAS,San Antonio,240:00,109.2,110.1,100.1,100.9,9.2,9.2,0.524,1.05,15.5,0.222,0.863,0.563,19.119,19.3,0.548,0.607,1.0,0.197,110.38,109.5,91.25,109,0.557
0021900010,1610612752,Knicks,NYK,New York,240:00,100.1,100.9,109.2,110.1,-9.2,-9.2,0.545,1.71,17.2,0.137,0.778,0.438,12.622,12.7,0.521,0.545,1.0,0.198,110.38,109.5,91.25,110,0.443
0021900012,1610612758,Kings,SAC,Sacramento,240:00,83.7,88.0,111.8,112.7,-28.0,-24.8,0.5,0.63,11.9,0.288,0.74,0.495,23.801,25.0,0.448,0.483,1.0,0.198,112.18,109.0,90.83,108,0.282
0021900012,1610612756,Suns,PHX,Phoenix,240:00,111.8,112.7,83.7,88.0,28.0,24.8,0.633,2.21,20.5,0.26,0.712,0.505,12.622,12.7,0.556,0.585,1.0,0.198,112.18,109.0,90.83,110,0.718
