GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0022000002,1610612746,Clippers,LAC,LA,240:00,18.03,18,51,68,437,2,2,314,22,13,23,0.565,31,69,0.449,0.473,17,24,0.708
0022000002,1610612747,Lakers,LAL,Los Angeles,240:00,17.73,19,56,72,384,3,2,261,22,14,29,0.483,24,52,0.462,0.469,14,22,0.636
0022000001,1610612744,Warriors,GSW,Golden State,240:00,19.23,31,72,99,434,3,2,301,26,15,42,0.357,22,57,0.386,0.374,18,24,0.75
0022000001,1610612751,Nets,BKN,Brooklyn,240:00,18.33,30,70,98,433,5,4,300,24,16,36,0.444,26,56,0.464,0.457,19,35,0.543
0022000013,1610612764,Wizards,WAS,Washington,240:00,18.4,14,55,67,403,2,0,280,28,13,30,0.433,26,55,0.473,0.459,16,21,0.762
0022000013,1610612755,76ers,PHI,Philadelphia,240:00,18.23,23,57,75,453,3,1,323,22,18,35,0.514,23,52,0.442,0.471,12,27,0.444
0022000015,1610612737,Hawks,ATL,Atlanta,240:00,17.99,17,58,74,421,4,0,299,24,20,30,0.667,23,50,0.46,0.538,14,24,0.583
0022000015,1610612741,Bulls,CHI,Chicago,240:00,18.73,26,44,69,432,3,1,299,20,15,30,0.5,21,57,0.368,0.414,19,26,0.731
0022000004,1610612742,Mavericks,DAL,Dallas,240:00,17.87,17,49,63,373,1,1,260,17,16,28,0.571,20,52,0.385,0.424,9,9,1.0
0022000004,1610612756,Suns,PHX,Phoenix,240:00,18.52,18,54,70,375,3,3,252,21,13,24,0.542,25,55,0.455,0.481,13,18,0.722
0022000003,1610612749,Bucks,MIL,Milwaukee,240:00,17.83,25,69,92,333,4,1,212,19,22,36,0.611,24,54,0.444,0.511,13,24,0.542
0022000003,1610612738,Celtics,BOS,Boston,240:00,18.17,31,46,77,449,1,1,325,23,21,42,0.5,27,59,0.458,0.475,18,27,0.667
0022000012,1610612748,Heat,MIA,Miami,240:00,18.69,24,58,76,394,1,3,272,25,21,40,0.525,21,43,0.488,0.506,15,22,0.682
0022000012,1610612753,Magic,ORL,Orlando,240:00,18.33,20,48,66,399,3,2,271,23,19,37,0.514,23,51,0.451,0.477,20,31,0.645
0022000010,1610612766,Hornets,CHA,Charlotte,240:00,18.38,22,48,68,411,4,2,292,29,15,28,0.536,30,62,0.484,0.5,18,30,0.6
0022000010,1610612739,Cavaliers,CLE,Cleveland,240:00,17.93,27,57,79,471,2,3,342,34,21,38,0.553,25,49,0.51,0.529,20,26,0.769
0022000020,1610612762,Jazz,UTA,Utah,240:00,17.93,23,71,94,432,5,2,304,24,21,39,0.538,22,55,0.4,0.457,17,26,0.654
0022000020,1610612757,Trail Blazers,POR,Portland,240:00,17.53,18,68,84,375,3,2,261,23,17,45,0.378,20,47,0.426,0.402,14,23,0.609
0022000011,1610612752,Knicks,NYK,New York,240:00,19.08,25,53,75,420,2,2,297,25,17,34,0.5,22,51,0.431,0.459,29,43,0.674
0022000011,1610612754,Pacers,IND,Indiana,240:00,19.17,23,58,78,443,1,6,312,28,26,47,0.553,20,47,0.426,0.489,20,37,0.541
0022000019,1610612758,Kings,SAC,Sacramento,265:00,19.84,33,63,95,462,2,4,322,27,23,41,0.561,22,60,0.367,0.441,27,41,0.659
0022000019,1610612743,Nuggets,DEN,Denver,265:00,19.69,31,63,90,467,5,2,329,28,27,47,0.574,20,51,0.392,0.48,24,36,0.667
0022000018,1610612765,Pistons,DET,Detroit,240:00,18.03,22,53,74,432,2,0,303,29,25,43,0.581,20,50,0.4,0.484,20,29,0.69
0022000018,1610612750,Timberwolves,MIN,Minnesota,240:00,17.78,28,66,92,429,6,4,306,25,15,31,0.484,23,57,0.404,0.432,24,31,0.774
0022000014,1610612740,Pelicans,NOP,New Orleans,240:00,18.87,19,64,83,434,5,0,312,30,19,33,0.576,23,46,0.5,0.525,14,20,0.7
0022000014,1610612761,Raptors,TOR,Toronto,240:00,18.29,25,44,65,425,3,0,299,26,12,29,0.414,26,60,0.433,0.427,13,20,0.65
0022000017,1610612759,Spurs,SAS,San Antonio,240:00,18.83,23,67,87,364,3,1,240,28,21,41,0.512,27,54,0.5,0.505,21,32,0.656
0022000017,1610612763,Grizzlies,MEM,Memphis,240:00,18.85,20,61,79,391,0,2,266,27,22,43,0.512,27,52,0.519,0.516,16,32,0.5
0022000008,1610612742,Mavericks,DAL,Dallas,240:00,18.16,17,39,53,391,3,2,275,20,15,28,0.536,26,55,0.473,0.494,17,19,0.895
