GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020500002,1610612759,Spurs,SAS,San Antonio,240:00,110.6,113.3,99.3,101.1,11.2,12.2,0.512,1.31,16.4,,0.651,,17.346,17.8,0.524,0.559,1.0,0.196,91.92,90.0,75.0,90,0.552
0020500002,1610612743,Nuggets,DEN,Denver,240:00,99.3,101.1,110.6,113.3,-11.2,-12.2,0.512,1.62,16.9,0.349,,,14.192,14.4,0.488,0.502,1.0,0.199,91.92,90.0,75.0,90,0.448
0020500003,1610612756,Suns,PHX,Phoenix,290:00,93.0,92.3,97.1,96.5,-4.1,-4.2,0.643,1.35,17.6,0.228,0.737,0.482,17.224,17.1,0.474,0.509,1.0,0.198,95.35,96.0,80.0,117,0.538
0020500003,1610612742,Mavericks,DAL,Dallas,290:00,97.1,96.5,93.0,92.3,4.1,4.2,0.381,0.73,11.1,0.263,0.772,0.518,19.244,19.1,0.489,0.522,1.0,0.198,95.35,96.0,80.0,115,0.463
0020500025,1610612758,Kings,SAC,Sacramento,240:00,68.8,69.8,95.2,95.9,-26.4,-26.1,0.52,0.68,10.8,,0.825,,19.515,19.8,0.331,0.379,1.0,0.197,97.52,96.5,80.42,96,0.164
0020500025,1610612740,Hornets,NOK,New Orleans/Oklahoma City,240:00,95.2,95.9,68.8,69.8,26.4,26.1,0.6,1.0,16.8,0.175,,,21.499,21.6,0.507,0.562,1.0,0.197,97.52,96.5,80.42,97,0.836
0020500001,1610612755,76ers,PHI,Philadelphia,265:00,105.1,105.9,114.1,114.7,-9.0,-8.8,0.61,3.13,17.8,0.281,0.622,0.431,7.785,7.8,0.453,0.501,1.0,0.2,92.96,92.38,76.98,102,0.441
0020500001,1610612749,Bucks,MIL,Milwaukee,265:00,114.1,114.7,105.1,105.9,9.0,8.8,0.619,1.53,18.2,0.378,0.719,0.569,16.582,16.7,0.529,0.588,1.0,0.199,92.96,92.38,76.98,102,0.559
0020500013,1610612758,Kings,SAC,Sacramento,240:00,93.1,97.8,105.4,106.5,-12.2,-8.7,0.618,1.31,16.1,0.353,0.686,0.52,16.743,17.6,0.416,0.476,1.0,0.197,94.28,91.5,76.25,91,0.471
0020500013,1610612745,Rockets,HOU,Houston,240:00,105.4,106.5,93.1,97.8,12.2,8.7,0.556,1.67,15.9,0.314,0.647,0.48,12.903,13.0,0.488,0.521,1.0,0.198,94.28,91.5,76.25,92,0.529
0020500016,1610612747,Lakers,LAL,Los Angeles,265:00,88.2,90.0,85.0,88.2,3.2,1.8,0.667,1.04,16.9,0.24,0.702,0.486,20.499,20.9,0.476,0.52,1.0,0.201,102.48,99.62,83.02,110,0.514
0020500016,1610612743,Nuggets,DEN,Denver,265:00,85.0,88.2,88.2,90.0,-3.2,-1.8,0.75,1.3,19.2,0.298,0.76,0.514,20.154,20.9,0.441,0.47,1.0,0.198,102.48,99.62,83.02,110,0.486
0020500014,1610612762,Jazz,UTA,Utah,240:00,102.2,102.2,90.5,91.1,11.8,11.1,0.469,0.94,12.5,0.333,0.704,0.529,17.59,17.6,0.48,0.523,1.0,0.198,90.8,90.5,75.42,91,0.626
0020500014,1610612742,Mavericks,DAL,Dallas,240:00,90.5,91.1,102.2,102.2,-11.8,-11.1,0.345,0.67,8.6,0.296,0.667,0.471,16.549,16.7,0.396,0.452,1.0,0.199,90.8,90.5,75.42,90,0.374
0020500012,1610612741,Bulls,CHI,Chicago,265:00,98.6,102.8,96.0,98.1,2.6,4.7,0.769,1.67,19.5,0.328,0.596,0.461,16.287,17.0,0.473,0.516,1.0,0.201,99.59,96.45,80.38,106,0.519
0020500012,1610612766,Bobcats,CHA,Charlotte,265:00,96.0,98.1,98.6,102.8,-2.6,-4.7,0.579,1.16,14.7,0.404,0.672,0.539,17.367,17.8,0.419,0.484,1.0,0.196,99.59,96.45,80.38,107,0.481
0020500011,1610612757,Trail Blazers,POR,Portland,240:00,93.6,94.5,99.0,97.8,-5.4,-3.3,0.5,1.2,14.6,0.28,0.708,0.49,16.319,16.5,0.457,0.478,1.0,0.198,91.42,91.5,76.25,91,0.458
0020500011,1610612750,Timberwolves,MIN,Minnesota,240:00,99.0,97.8,93.6,94.5,5.4,3.3,0.676,1.79,19.5,0.292,0.72,0.51,15.398,15.2,0.494,0.506,1.0,0.2,91.42,91.5,76.25,92,0.542
0020500015,1610612760,SuperSonics,SEA,Seattle,240:00,94.9,100.0,109.3,109.8,-14.4,-9.8,0.636,1.11,16.0,0.392,0.595,0.484,19.388,20.4,0.475,0.511,1.0,0.2,95.22,92.5,77.08,93,0.411
0020500015,1610612746,Clippers,LAC,Los Angeles,240:00,109.3,109.8,94.9,100.0,14.4,9.8,0.59,1.28,17.6,0.405,0.608,0.516,19.472,19.6,0.526,0.565,1.0,0.201,95.22,92.5,77.08,92,0.589
0020500009,1610612755,76ers,PHI,Philadelphia,240:00,96.8,96.7,117.2,118.7,-20.4,-22.0,0.333,0.85,9.8,0.239,0.686,0.432,14.305,14.3,0.434,0.501,1.0,0.2,91.5,91.0,75.83,91,0.338
0020500009,1610612765,Pistons,DET,Detroit,240:00,117.2,118.7,96.8,96.7,20.4,22.0,0.698,2.31,23.1,0.314,0.761,0.568,14.112,14.3,0.571,0.62,1.0,0.2,91.5,91.0,75.83,91,0.662
0020500005,1610612753,Magic,ORL,Orlando,240:00,93.6,92.9,103.8,107.1,-10.3,-14.3,0.71,1.38,18.7,0.326,0.718,0.512,19.194,19.0,0.458,0.491,1.0,0.201,85.02,84.0,70.0,84,0.428
