,event_id,date,home_team_abbr,away_team_abbr,home_score,away_score,q1_pts_home,q2_pts_home,q3_pts_home,q4_pts_home,ot1_pts_home,ot2_pts_home,ot3_pts_home,ot4_pts_home,q1_pts_away,q2_pts_away,q3_pts_away,q4_pts_away,ot1_pts_away,ot2_pts_away,ot3_pts_away,ot4_pts_away,spread,total
0,864184,2013-10-29,IND,ORL,97,87,23,17,29,28,0,0,0,0,23,17,29,28,0,0,0,0,-12.0,189.5
1,864185,2013-10-29,MIA,CHI,107,95,17,37,24,29,0,0,0,0,17,37,24,29,0,0,0,0,-5.0,188.5
2,864186,2013-10-29,LAL,LAC,116,103,28,27,20,41,0,0,0,0,28,27,20,41,0,0,0,0,9.5,202.5
3,864188,2013-10-30,TOR,BOS,93,87,21,28,22,22,0,0,0,0,21,28,22,22,0,0,0,0,-8.0,189.5
4,864200,2013-10-30,CLE,BK,98,94,27,22,30,19,0,0,0,0,27,22,30,19,0,0,0,0,3.0,194.0
5,864187,2013-10-30,PHI,MIA,114,110,33,18,34,29,0,0,0,0,33,18,34,29,0,0,0,0,10.0,195.5
6,864190,2013-10-30,NY,MIL,90,83,24,32,18,16,0,0,0,0,24,32,18,16,0,0,0,0,-8.0,196.5
7,864189,2013-10-30,DET,WAS,113,102,25,30,26,32,0,0,0,0,25,30,26,32,0,0,0,0,-2.5,189.0
8,864193,2013-10-30,NO,IND,90,95,24,26,16,24,0,0,0,0,24,26,16,24,0,0,0,0,-1.0,187.5
9,864192,2013-10-30,MIN,ORL,120,115,38,22,27,16,17,0,0,0,38,22,27,16,17,0,0,0,-10.5,199.5
10,864191,2013-10-30,HOU,CHA,96,83,17,28,22,29,0,0,0,0,17,28,22,29,0,0,0,0,-13.0,200.5
11,864194,2013-10-30,DAL,ATL,118,109,33,20,33,32,0,0,0,0,33,20,33,32,0,0,0,0,-6.0,196.0
12,864195,2013-10-30,SA,MEM,101,94,18,30,24,29,0,0,0,0,18,30,24,29,0,0,0,0,-6.0,189.0
13,864196,2013-10-30,UTA,OKC,98,101,29,19,25,25,0,0,0,0,29,19,25,25,0,0,0,0,6.5,191.5
14,864198,2013-10-30,SAC,DEN,90,88,25,23,22,20,0,0,0,0,25,23,22,20,0,0,0,0,-2.5,203.5
15,864197,2013-10-30,PHO,POR,104,91,30,20,31,23,0,0,0,0,30,20,31,23,0,0,0,0,5.5,197.5
16,864199,2013-10-30,GS,LAL,125,94,26,33,37,29,0,0,0,0,26,33,37,29,0,0,0,0,-12.0,206.0
17,864870,2013-10-31,CHI,NY,82,81,26,17,28,11,0,0,0,0,26,17,28,11,0,0,0,0,-7.5,188.0
18,864871,2013-10-31,LAC,GS,126,115,36,32,25,33,0,0,0,0,36,32,25,33,0,0,0,0,-6.0,205.5
19,864203,2013-11-01,WAS,PHI,102,109,33,21,20,28,0,0,0,0,33,21,20,28,0,0,0,0,-9.0,201.0
20,864202,2013-11-01,ORL,NO,110,90,22,31,32,25,0,0,0,0,22,31,32,25,0,0,0,0,4.0,193.5
21,864201,2013-11-01,CHA,CLE,90,84,30,24,21,15,0,0,0,0,30,24,21,15,0,0,0,0,3.5,188.0
22,864205,2013-11-01,BOS,MIL,98,105,29,34,20,15,0,0,0,0,29,34,20,15,0,0,0,0,-2.5,185.5
23,864204,2013-11-01,ATL,TOR,102,95,25,24,30,23,0,0,0,0,25,24,30,23,0,0,0,0,-3.5,195.5
24,864208,2013-11-01,MIN,OKC,100,81,34,25,29,12,0,0,0,0,34,25,29,12,0,0,0,0,-2.0,201.0
25,864206,2013-11-01,HOU,DAL,113,105,38,23,24,28,0,0,0,0,38,23,24,28,0,0,0,0,-6.5,207.0
26,864207,2013-11-01,MEM,DET,111,108,17,30,20,28,16,0,0,0,17,30,20,28,16,0,0,0,-7.5,189.5
27,864209,2013-11-01,BK,MIA,101,100,27,20,31,23,0,0,0,0,27,20,31,23,0,0,0,0,4.0,195.0
28,864210,2013-11-01,DEN,POR,98,113,23,27,21,27,0,0,0,0,23,27,21,27,0,0,0,0,-4.5,198.0
29,864211,2013-11-01,PHO,UTA,87,84,29,14,20,24,0,0,0,0,29,14,20,24,0,0,0,0,-3.0,195.5
30,864212,2013-11-01,SAC,LAC,101,110,22,23,32,24,0,0,0,0,22,23,32,24,0,0,0,0,3.5,203.0
31,864213,2013-11-01,LAL,SA,85,91,23,19,19,24,0,0,0,0,23,19,19,24,0,0,0,0,7.5,208.5
