,event_id,date,home_team_abbr,away_team_abbr,home_score,away_score,q1_pts_home,q2_pts_home,q3_pts_home,q4_pts_home,ot1_pts_home,ot2_pts_home,ot3_pts_home,ot4_pts_home,q1_pts_away,q2_pts_away,q3_pts_away,q4_pts_away,ot1_pts_away,ot2_pts_away,ot3_pts_away,ot4_pts_away,spread,total
0,896350,2015-10-27,ATL,DET,94,106,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-7,196.5
1,896351,2015-10-27,CHI,CLE,97,95,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4,198.5
2,896352,2015-10-27,GS,NO,111,95,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-10.5,215
3,896353,2015-10-28,ORL,WAS,87,88,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,4.5,203
4,896356,2015-10-28,DET,UTA,92,87,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,0,191
5,896358,2015-10-28,TOR,IND,106,99,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-5.5,199.5
6,896357,2015-10-28,MIA,CHA,104,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-6.5,194
7,896354,2015-10-28,BOS,PHI,112,95,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-12.5,198
8,896355,2015-10-28,BK,CHI,100,115,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,5,196.5
9,896361,2015-10-28,MIL,NY,97,122,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4.5,194.5
10,896362,2015-10-28,OKC,SA,112,106,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4,207.5
11,896359,2015-10-28,HOU,DEN,85,105,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-10.5,211.5
12,896360,2015-10-28,MEM,CLE,76,106,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-5,189
13,896363,2015-10-28,PHO,DAL,95,111,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-6,204.5
14,896364,2015-10-28,POR,NO,112,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-2.5,204.5
15,896365,2015-10-28,SAC,LAC,104,111,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,5.5,211.5
16,896366,2015-10-28,LAL,MIN,111,112,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-2.5,203
17,896367,2015-10-29,IND,MEM,103,112,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,3,190.5
18,896368,2015-10-29,NY,ATL,101,112,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,4.5,199
19,896369,2015-10-29,LAC,DAL,104,88,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-12,212.5
20,896370,2015-10-30,CLE,MIA,102,92,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4.5,200.5
21,896371,2015-10-30,ORL,OKC,136,139,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,7.5,206.5
22,896372,2015-10-30,PHI,UTA,71,99,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,7.5,186
23,896374,2015-10-30,DET,CHI,98,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,2.5,203
24,896373,2015-10-30,BOS,TOR,103,113,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-2,200
25,896376,2015-10-30,MIL,WAS,113,118,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,2,199.5
26,896375,2015-10-30,ATL,CHA,97,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4,194
27,896377,2015-10-30,SA,BK,102,75,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-14,202
28,896378,2015-10-30,DEN,MIN,78,95,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-3.5,204
29,896379,2015-10-30,HOU,GS,92,112,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,1,216.5
30,896380,2015-10-30,SAC,LAL,132,114,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-7,211.5
31,896381,2015-10-30,PHO,POR,110,92,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4.5,204.5
32,896387,2015-10-31,LAC,SAC,105,100,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-10.5,216
33,896383,2015-10-31,WAS,NY,110,117,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-7.5,204.5
34,896382,2015-10-31,IND,UTA,76,97,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-3.5,193
35,896384,2015-10-31,NO,GS,120,134,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,5.5,212
36,896385,2015-10-31,MEM,BK,101,91,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-12,192.5
37,896386,2015-10-31,POR,PHO,90,101,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-2,204
38,896388,2015-11-01,CHA,ATL,92,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,2,195.5
39,896389,2015-11-01,BOS,SA,87,95,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,5.5,202.5
40,896391,2015-11-01,TOR,MIL,106,87,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-6,200.5
41,896390,2015-11-01,MIA,HOU,109,89,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4,207.5
42,896392,2015-11-01,CHI,ORL,92,87,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-8,199
43,896393,2015-11-01,OKC,DEN,117,93,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-12.5,213
44,896394,2015-11-01,LAL,DAL,93,103,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,4,212.5
45,896395,2015-11-02,PHI,CLE,100,107,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,13,195
46,896397,2015-11-02,NY,SA,84,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,7.5,203
47,896396,2015-11-02,BK,MIL,96,103,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,1,194
48,896399,2015-11-02,MIN,POR,101,106,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4,204.5
49,896398,2015-11-02,HOU,OKC,110,105,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,4.5,217.5
50,896400,2015-11-02,GS,MEM,119,69,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-9.5,204.5
51,896401,2015-11-02,LAC,PHO,102,96,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-9,208
52,896402,2015-11-03,CHA,CHI,130,105,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,4,193.5
53,896403,2015-11-03,DET,IND,82,94,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4.5,200.5
54,896404,2015-11-03,MIA,ATL,92,98,34,36,29,25,0,0,0,0,34,36,29,25,0,0,0,0,-4,197
