GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0021300003,1610612747,Lakers,LAL,Los Angeles,240:00,0.688,0.312,0.483,0.121,0.362,0.112,0.155,0.241,0.362,0.429,0.571,0.786,0.214,0.548,0.452
0021300003,1610612746,Clippers,LAC,Los Angeles,240:00,0.747,0.253,0.641,0.175,0.233,0.184,0.126,0.243,0.466,0.606,0.394,0.875,0.125,0.659,0.341
0021300002,1610612748,Heat,MIA,Miami,240:00,0.722,0.278,0.486,0.168,0.308,0.093,0.206,0.14,0.318,0.577,0.423,1.0,0.0,0.703,0.297
0021300002,1610612741,Bulls,CHI,Chicago,240:00,0.687,0.313,0.589,0.063,0.221,0.179,0.189,0.316,0.526,0.571,0.429,1.0,0.0,0.657,0.343
0021300001,1610612753,Magic,ORL,Orlando,240:00,0.796,0.204,0.621,0.23,0.31,0.115,0.069,0.241,0.391,0.37,0.63,0.778,0.222,0.472,0.528
0021300001,1610612754,Pacers,IND,Indiana,240:00,0.761,0.239,0.557,0.186,0.216,0.134,0.227,0.299,0.371,0.444,0.556,0.714,0.286,0.5,0.5
0021300005,1610612755,76ers,PHI,Philadelphia,240:00,0.738,0.263,0.614,0.175,0.211,0.228,0.175,0.237,0.439,0.486,0.514,0.875,0.125,0.558,0.442
0021300005,1610612748,Heat,MIA,Miami,240:00,0.529,0.471,0.473,0.145,0.436,0.1,0.091,0.209,0.327,0.615,0.385,0.875,0.125,0.714,0.286
0021300017,1610612747,Lakers,LAL,Los Angeles,240:00,0.798,0.202,0.574,0.149,0.255,0.181,0.17,0.128,0.426,0.444,0.556,0.875,0.125,0.543,0.457
0021300017,1610612744,Warriors,GSW,Golden State,240:00,0.686,0.314,0.496,0.176,0.36,0.176,0.144,0.176,0.32,0.742,0.258,0.733,0.267,0.739,0.261
0021300013,1610612759,Spurs,SAS,San Antonio,240:00,0.737,0.263,0.574,0.079,0.327,0.188,0.099,0.149,0.495,0.517,0.483,0.909,0.091,0.625,0.375
0021300013,1610612763,Grizzlies,MEM,Memphis,240:00,0.839,0.161,0.66,0.234,0.255,0.117,0.085,0.17,0.426,0.516,0.484,1.0,0.0,0.615,0.385
0021300008,1610612752,Knicks,NYK,New York,240:00,0.817,0.183,0.733,0.178,0.1,0.267,0.167,0.3,0.556,0.424,0.576,1.0,0.0,0.472,0.528
0021300008,1610612749,Bucks,MIL,Milwaukee,240:00,0.784,0.216,0.699,0.361,0.181,0.12,0.12,0.325,0.337,0.552,0.448,0.6,0.4,0.559,0.441
0021300015,1610612757,Trail Blazers,POR,Portland,240:00,0.679,0.321,0.549,0.286,0.264,0.209,0.187,0.132,0.264,0.52,0.48,0.75,0.25,0.576,0.424
0021300015,1610612756,Suns,PHX,Phoenix,240:00,0.771,0.229,0.75,0.25,0.115,0.298,0.135,0.163,0.5,0.359,0.641,1.0,0.0,0.419,0.581
0021300004,1610612739,Cavaliers,CLE,Cleveland,240:00,0.821,0.179,0.612,0.265,0.153,0.112,0.235,0.184,0.347,0.567,0.433,0.8,0.2,0.6,0.4
0021300004,1610612751,Nets,BKN,Brooklyn,240:00,0.707,0.293,0.511,0.191,0.287,0.128,0.202,0.17,0.319,0.625,0.375,1.0,0.0,0.727,0.273
0021300009,1610612745,Rockets,HOU,Houston,240:00,0.671,0.329,0.563,0.083,0.281,0.073,0.156,0.031,0.479,0.333,0.667,0.889,0.111,0.472,0.528
0021300009,1610612766,Bobcats,CHA,Charlotte,240:00,0.889,0.111,0.699,0.193,0.145,0.181,0.157,0.108,0.506,0.379,0.621,0.75,0.25,0.424,0.576
0021300007,1610612764,Wizards,WAS,Washington,240:00,0.679,0.321,0.471,0.196,0.294,0.088,0.235,0.216,0.275,0.542,0.458,1.0,0.0,0.676,0.324
0021300007,1610612765,Pistons,DET,Detroit,240:00,0.692,0.308,0.531,0.035,0.239,0.115,0.23,0.177,0.496,0.6,0.4,0.667,0.333,0.615,0.385
0021300014,1610612762,Jazz,UTA,Utah,240:00,0.722,0.278,0.612,0.041,0.184,0.143,0.204,0.133,0.571,0.633,0.367,1.0,0.0,0.694,0.306
0021300014,1610612760,Thunder,OKC,Oklahoma City,240:00,0.765,0.235,0.535,0.218,0.178,0.248,0.287,0.248,0.317,0.259,0.741,0.333,0.667,0.273,0.727
0021300012,1610612742,Mavericks,DAL,Dallas,240:00,0.688,0.312,0.559,0.237,0.28,0.161,0.161,0.085,0.322,0.606,0.394,1.0,0.0,0.705,0.295
0021300012,1610612737,Hawks,ATL,Atlanta,240:00,0.684,0.316,0.532,0.147,0.22,0.183,0.248,0.239,0.385,0.69,0.31,0.875,0.125,0.73,0.27
0021300016,1610612758,Kings,SAC,Sacramento,240:00,0.741,0.259,0.556,0.111,0.267,0.122,0.178,0.233,0.444,0.28,0.72,0.75,0.25,0.394,0.606
0021300016,1610612743,Nuggets,DEN,Denver,240:00,0.81,0.19,0.659,0.227,0.17,0.261,0.17,0.136,0.432,0.552,0.448,0.6,0.4,0.559,0.441
0021300010,1610612753,Magic,ORL,Orlando,265:00,0.73,0.27,0.643,0.243,0.261,0.096,0.096,0.122,0.4,0.378,0.622,0.7,0.3,0.447,0.553
0021300010,1610612750,Timberwolves,MIN,Minnesota,265:00,0.75,0.25,0.567,0.183,0.2,0.15,0.233,0.15,0.383,0.559,0.441,1.0,0.0,0.643,0.357
0021300006,1610612761,Raptors,TOR,Toronto,240:00,0.802,0.198,0.71,0.237,0.161,0.118,0.129,0.215,0.473,0.364,0.636,0.6,0.4,0.395,0.605
0021300006,1610612738,Celtics,BOS,Boston,240:00,0.803,0.197,0.667,0.207,0.103,0.138,0.23,0.287,0.46,0.448,0.552,0.667,0.333,0.469,0.531
0021300011,1610612740,Pelicans,NOP,New Orleans,240:00,0.871,0.129,0.644,0.289,0.167,0.144,0.189,0.222,0.356,0.448,0.552,0.8,0.2,0.5,0.5
0021300011,1610612754,Pacers,IND,Indiana,240:00,0.671,0.329,0.421,0.084,0.316,0.053,0.263,0.105,0.337,0.55,0.45,0.8,0.2,0.633,0.367
0021300018,1610612752,Knicks,NYK,New York,240:00,0.721,0.279,0.543,0.247,0.333,0.148,0.123,0.185,0.296,0.636,0.364,0.667,0.333,0.645,0.355
0021300018,1610612741,Bulls,CHI,Chicago,240:00,0.789,0.211,0.683,0.122,0.11,0.171,0.207,0.159,0.561,0.607,0.393,1.0,0.0,0.645,0.355
0021300019,1610612746,Clippers,LAC,Los Angeles,240:00,0.671,0.329,0.524,0.143,0.214,0.175,0.262,0.222,0.381,0.545,0.455,1.0,0.0,0.643,0.357
0021300019,1610612744,Warriors,GSW,Golden State,240:00,0.724,0.276,0.487,0.122,0.313,0.148,0.2,0.191,0.365,0.679,0.321,0.583,0.417,0.65,0.35
0021300032,1610612759,Spurs,SAS,San Antonio,240:00,0.777,0.223,0.725,0.286,0.165,0.088,0.11,0.198,0.44,0.455,0.545,1.0,0.0,0.526,0.474
0021300032,1610612747,Lakers,LAL,Los Angeles,240:00,0.671,0.329,0.518,0.141,0.282,0.118,0.2,0.118,0.376,0.682,0.318,0.875,0.125,0.733,0.267
0021300030,1610612762,Jazz,UTA,Utah,240:00,0.8,0.2,0.619,0.19,0.179,0.167,0.202,0.131,0.429,0.615,0.385,0.8,0.2,0.645,0.355
0021300030,1610612756,Suns,PHX,Phoenix,240:00,0.735,0.265,0.575,0.115,0.207,0.276,0.218,0.253,0.46,0.44,0.56,0.667,0.333,0.484,0.516
0021300028,1610612748,Heat,MIA,Miami,240:00,0.791,0.209,0.5,0.1,0.21,0.07,0.29,0.18,0.4,0.68,0.32,1.0,0.0,0.75,0.25
0021300028,1610612751,Nets,BKN,Brooklyn,240:00,0.765,0.235,0.495,0.178,0.238,0.099,0.267,0.198,0.317,0.56,0.44,0.875,0.125,0.636,0.364
0021300024,1610612749,Bucks,MIL,Milwaukee,240:00,0.821,0.179,0.552,0.114,0.171,0.095,0.276,0.152,0.438,0.448,0.552,0.833,0.167,0.514,0.486
0021300024,1610612738,Celtics,BOS,Boston,240:00,0.789,0.211,0.612,0.102,0.122,0.112,0.265,0.102,0.51,0.333,0.667,0.75,0.25,0.382,0.618
0021300021,1610612753,Magic,ORL,Orlando,240:00,0.686,0.314,0.509,0.2,0.3,0.136,0.191,0.155,0.309,0.393,0.607,1.0,0.0,0.564,0.436
