GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020100007,1610612745,Rockets,HOU,Houston,265:00,88.7,89.0,82.4,84.0,6.3,5.0,0.515,0.94,12.9,0.304,0.75,0.527,17.943,18.0,0.417,0.462,1.0,0.196,91.56,90.57,75.47,100,0.549
0020100007,1610612737,Hawks,ATL,Atlanta,265:00,82.4,84.0,88.7,89.0,-6.3,-5.0,0.5,0.88,11.8,0.25,0.696,0.473,16.686,17.0,0.38,0.443,1.0,0.2,91.56,90.57,75.47,100,0.451
0020100003,1610612751,Nets,NJN,New Jersey,240:00,101.3,104.0,94.4,98.0,7.0,6.1,0.649,2.18,16.7,0.361,0.674,0.495,10.823,11.1,0.421,0.474,1.0,0.199,102.22,99.0,82.5,99,0.51
0020100003,1610612754,Pacers,IND,Indiana,240:00,94.4,98.0,101.3,104.0,-7.0,-6.1,0.595,1.0,16.4,0.326,0.639,0.505,21.401,22.2,0.494,0.54,1.0,0.197,102.22,99.0,82.5,99,0.49
0020100008,1610612759,Spurs,SAS,San Antonio,240:00,111.4,110.1,98.5,99.0,12.9,11.1,0.568,1.31,15.8,0.333,0.689,0.505,16.353,16.2,0.531,0.569,1.0,0.202,98.68,99.0,82.5,99,0.583
0020100008,1610612746,Clippers,LAC,Los Angeles,240:00,98.5,99.0,111.4,110.1,-12.9,-11.1,0.257,0.5,7.5,0.311,0.667,0.495,18.087,18.2,0.455,0.53,1.0,0.201,98.68,99.0,82.5,99,0.417
0020100006,1610612765,Pistons,DET,Detroit,240:00,95.0,95.6,102.4,103.3,-7.4,-7.7,0.667,1.05,15.7,,0.714,,20.751,20.9,0.423,0.491,1.0,0.195,91.68,91.0,75.83,91,0.446
0020100006,1610612742,Mavericks,DAL,Dallas,240:00,102.4,103.3,95.0,95.6,7.4,7.7,0.706,1.85,18.8,0.286,,,14.161,14.3,0.463,0.518,1.0,0.198,91.68,91.0,75.83,91,0.554
0020100012,1610612757,Trail Blazers,POR,Portland,240:00,91.7,90.6,101.3,103.2,-9.6,-12.5,0.548,1.13,14.5,0.159,0.76,0.479,15.809,15.6,0.452,0.512,1.0,0.2,95.82,95.5,79.58,96,0.452
0020100012,1610612747,Lakers,LAL,Los Angeles,240:00,101.3,103.2,91.7,90.6,9.6,12.5,0.595,1.38,17.0,0.24,0.841,0.521,16.536,16.8,0.513,0.534,1.0,0.195,95.82,95.5,79.58,95,0.548
