TEAM_ABBREVIATION_home,GAME_ID,GAME_DATE_home,WL_home,PTS_home,TEAM_ABBREVIATION_away,GAME_DATE_away,WL_away,PTS_away
HOU,0020000008,2000-10-31,L,98,MIN,2000-10-31,W,106
BKN,0020000002,2000-10-31,L,82,CLE,2000-10-31,W,86
SAS,0020000009,2000-10-31,W,98,IND,2000-10-31,L,85
DAL,0020000007,2000-10-31,W,97,MIL,2000-10-31,L,93
UTA,0020000010,2000-10-31,W,107,LAC,2000-10-31,L,94
NYK,0020000001,2000-10-31,L,72,PHI,2000-10-31,W,101
POR,0020000012,2000-10-31,L,86,LAL,2000-10-31,W,96
CHI,0020000006,2000-10-31,L,81,SAC,2000-10-31,W,100
ORL,0020000003,2000-10-31,W,97,WAS,2000-10-31,L,86
ATL,0020000004,2000-10-31,L,82,CHA,2000-10-31,W,106
TOR,0020000005,2000-10-31,L,95,DET,2000-10-31,W,104
GSW,0020000011,2000-10-31,W,96,PHX,2000-10-31,L,94
MEM,0020000013,2000-10-31,W,94,OKC,2000-10-31,L,88
LAL,0020000019,2000-11-01,L,92,UTA,2000-11-01,W,97
MIA,0020000016,2000-11-01,W,105,ORL,2000-11-01,L,79
PHI,0020000015,2000-11-01,W,104,TOR,2000-11-01,L,98
OKC,0020000020,2000-11-01,W,112,DEN,2000-11-01,L,99
CHA,0020000017,2000-11-01,L,77,WAS,2000-11-01,W,95
CLE,0020000018,2000-11-01,W,102,SAC,2000-11-01,L,100
BOS,0020000014,2000-11-01,W,103,DET,2000-11-01,L,83
SAS,0020000024,2000-11-02,W,103,MIN,2000-11-02,L,91
HOU,0020000023,2000-11-02,W,115,MIL,2000-11-02,L,93
DEN,0020000025,2000-11-02,W,101,GSW,2000-11-02,L,97
DAL,0020000022,2000-11-02,W,94,IND,2000-11-02,L,88
NYK,0020000021,2000-11-02,W,94,ATL,2000-11-02,L,69
PHX,0020000026,2000-11-02,W,108,POR,2000-11-02,L,82
LAC,0020000027,2000-11-02,L,91,MEM,2000-11-02,W,99
CHI,0020000033,2000-11-03,L,82,BKN,2000-11-03,W,92
ORL,0020000030,2000-11-03,L,80,PHI,2000-11-03,W,87
DET,0020000032,2000-11-03,L,93,SAC,2000-11-03,W,100
CHA,0020000031,2000-11-03,W,83,MIA,2000-11-03,L,79
BOS,0020000028,2000-11-03,W,93,TOR,2000-11-03,L,91
WAS,0020000029,2000-11-03,L,76,NYK,2000-11-03,W,80
IND,0020000039,2000-11-04,W,94,CHI,2000-11-04,L,81
BKN,0020000034,2000-11-04,L,87,CHA,2000-11-04,W,98
DAL,0020000042,2000-11-04,L,106,UTA,2000-11-04,W,112
DEN,0020000043,2000-11-04,L,99,PHX,2000-11-04,W,102
MIA,0020000035,2000-11-04,L,82,PHI,2000-11-04,W,84
MIN,0020000041,2000-11-04,W,99,SAC,2000-11-04,L,91
OKC,0020000046,2000-11-04,L,90,POR,2000-11-04,W,97
MIL,0020000040,2000-11-04,W,97,DET,2000-11-04,L,88
ATL,0020000036,2000-11-04,L,104,ORL,2000-11-04,W,107
TOR,0020000037,2000-11-04,W,103,WAS,2000-11-04,L,96
CLE,0020000038,2000-11-04,W,91,BOS,2000-11-04,L,89
GSW,0020000045,2000-11-04,L,105,SAS,2000-11-04,W,117
LAC,0020000044,2000-11-04,W,77,HOU,2000-11-04,L,74
MEM,0020000047,2000-11-04,L,89,LAL,2000-11-04,W,98
LAL,0020000049,2000-11-05,W,108,LAC,2000-11-05,L,103
PHX,0020000048,2000-11-05,W,104,HOU,2000-11-05,L,99
DEN,0020000051,2000-11-06,L,96,DAL,2000-11-06,W,108
UTA,0020000052,2000-11-06,W,98,MIN,2000-11-06,L,92
SAC,0020000053,2000-11-06,W,79,POR,2000-11-06,L,75
ORL,0020000050,2000-11-06,W,110,OKC,2000-11-06,L,99
MEM,0020000054,2000-11-06,W,97,ATL,2000-11-06,L,87
HOU,0020000058,2000-11-07,W,84,LAL,2000-11-07,L,74
CHI,0020000056,2000-11-07,L,83,WAS,2000-11-07,W,88
POR,0020000060,2000-11-07,W,97,ATL,2000-11-07,L,88
PHX,0020000059,2000-11-07,W,100,SAS,2000-11-07,L,81
MIL,0020000057,2000-11-07,L,89,NYK,2000-11-07,W,103
TOR,0020000055,2000-11-07,W,105,BOS,2000-11-07,L,75
IND,0020000066,2000-11-08,W,108,MIL,2000-11-08,L,97
SAS,0020000068,2000-11-08,W,91,LAL,2000-11-08,L,81
DEN,0020000069,2000-11-08,W,109,MIN,2000-11-08,L,107
DAL,0020000067,2000-11-08,L,74,MEM,2000-11-08,W,101
NYK,0020000061,2000-11-08,L,97,CLE,2000-11-08,W,99
MIA,0020000065,2000-11-08,W,87,OKC,2000-11-08,L,81
PHI,0020000062,2000-11-08,W,103,DET,2000-11-08,L,94
SAC,0020000071,2000-11-08,W,115,GSW,2000-11-08,L,84
ORL,0020000064,2000-11-08,L,90,CHA,2000-11-08,W,96
LAC,0020000070,2000-11-08,L,87,UTA,2000-11-08,W,93
WAS,0020000063,2000-11-08,L,86,BKN,2000-11-08,W,102
BKN,0020000072,2000-11-09,L,94,DET,2000-11-09,W,108
HOU,0020000076,2000-11-09,W,85,MEM,2000-11-09,L,78
CHI,0020000074,2000-11-09,W,95,ORL,2000-11-09,L,90
POR,0020000078,2000-11-09,W,107,DEN,2000-11-09,L,91
PHX,0020000077,2000-11-09,W,88,ATL,2000-11-09,L,79
MIN,0020000075,2000-11-09,L,82,PHI,2000-11-09,W,84
CHA,0020000073,2000-11-09,L,94,OKC,2000-11-09,W,102
DAL,0020000082,2000-11-10,W,79,SAS,2000-11-10,L,77
